"CITY","Date","Log.Trips","time_since_treatment","month","season","Total_Injuries","treatment"
"NEWTON",2014-08-01,0,0,8,3,33,0
"NEWTON",2014-09-01,0,0,9,4,55,0
"NEWTON",2014-10-01,0,0,10,4,70,0
"NEWTON",2014-11-01,0,0,11,1,58,0
"NEWTON",2014-12-01,0,0,12,1,38,0
"REVERE",2010-01-01,0,0,1,1,28,0
"REVERE",2010-02-01,0,0,2,1,18,0
"REVERE",2010-03-01,0,0,3,1,20,0
"REVERE",2010-04-01,0,0,4,2,24,0
"REVERE",2010-05-01,0,0,5,2,33,0
"REVERE",2010-06-01,0,0,6,3,27,0
"REVERE",2010-07-01,0,0,7,3,31,0
"REVERE",2010-08-01,0,0,8,3,41,0
"REVERE",2010-09-01,0,0,9,4,33,0
"REVERE",2010-10-01,0,0,10,4,40,0
"REVERE",2010-11-01,0,0,11,1,32,0
"REVERE",2010-12-01,0,0,12,1,25,0
"REVERE",2011-01-01,0,0,1,1,20,0
"REVERE",2011-02-01,0,0,2,1,34,0
"REVERE",2011-03-01,0,0,3,1,26,0
"REVERE",2011-04-01,0,0,4,2,28,0
"REVERE",2011-05-01,0,0,5,2,31,0
"REVERE",2011-06-01,0,0,6,3,38,0
"REVERE",2011-07-01,0,0,7,3,19,0
"REVERE",2011-08-01,0,0,8,3,25,0
"REVERE",2011-09-01,0,0,9,4,20,0
"REVERE",2011-10-01,0,0,10,4,31,0
"REVERE",2011-11-01,0,0,11,1,32,0
"REVERE",2011-12-01,0,0,12,1,44,0
"REVERE",2012-01-01,0,0,1,1,19,0
"REVERE",2012-02-01,0,0,2,1,15,0
"REVERE",2012-03-01,0,0,3,1,24,0
"REVERE",2012-04-01,0,0,4,2,35,0
"REVERE",2012-05-01,0,0,5,2,20,0
"REVERE",2012-06-01,0,0,6,3,32,0
"REVERE",2012-07-01,0,0,7,3,20,0
"REVERE",2012-08-01,0,0,8,3,21,0
"REVERE",2012-09-01,0,0,9,4,32,0
"REVERE",2012-10-01,0,0,10,4,35,0
"REVERE",2012-11-01,0,0,11,1,27,0
"REVERE",2012-12-01,0,0,12,1,18,0
"REVERE",2013-01-01,0,0,1,1,27,0
"REVERE",2013-02-01,0,0,2,1,16,0
"REVERE",2013-03-01,0,0,3,1,14,0
"REVERE",2013-04-01,0,0,4,2,14,0
"REVERE",2013-05-01,0,0,5,2,38,0
"REVERE",2013-06-01,0,0,6,3,25,0
"REVERE",2013-07-01,0,0,7,3,32,0
"REVERE",2013-08-01,0,0,8,3,27,0
"REVERE",2013-09-01,0,0,9,4,35,0
"REVERE",2013-10-01,0,0,10,4,33,0
"REVERE",2013-11-01,0,0,11,1,27,0
"REVERE",2013-12-01,0,0,12,1,28,0
"REVERE",2014-01-01,0,0,1,1,25,0
"REVERE",2014-02-01,0,0,2,1,18,0
"REVERE",2014-03-01,0,0,3,1,31,0
"REVERE",2014-04-01,0,0,4,2,24,0
"REVERE",2014-05-01,0,0,5,2,41,0
"REVERE",2014-06-01,0,0,6,3,49,0
"REVERE",2014-07-01,0,0,7,3,35,0
"REVERE",2014-08-01,0,0,8,3,33,0
"REVERE",2014-09-01,0,0,9,4,32,0
"REVERE",2014-10-01,0,0,10,4,37,0
"REVERE",2014-11-01,0,0,11,1,14,0
